age(kyr) mean(permil) sigma(permil)
87.400000 4.034631 0.132972
87.500000 4.052110 0.133796
87.600000 4.069064 0.134544
87.700000 4.085879 0.135130
87.800000 4.102418 0.135617
87.900000 4.118517 0.135954
88.000000 4.133796 0.136086
88.100000 4.148004 0.136039
88.200000 4.161274 0.135892
88.300000 4.173122 0.135610
88.400000 4.183836 0.135193
88.500000 4.193093 0.134786
88.600000 4.201016 0.134437
88.700000 4.207603 0.134090
88.800000 4.212498 0.133781
88.900000 4.215455 0.133455
89.000000 4.216175 0.133166
89.100000 4.214880 0.132974
89.200000 4.212090 0.132875
89.300000 4.207430 0.132665
89.400000 4.201642 0.132503
89.500000 4.194546 0.132370
89.600000 4.185978 0.132181
89.700000 4.176465 0.131903
89.800000 4.166192 0.131495
89.900000 4.155387 0.131010
90.000000 4.144191 0.130486
90.100000 4.132841 0.129834
90.200000 4.121274 0.129071
90.300000 4.109658 0.128294
90.400000 4.098224 0.127438
90.500000 4.087138 0.126522
90.600000 4.076387 0.125652
90.700000 4.065848 0.124795
90.800000 4.055515 0.123918
90.900000 4.045318 0.123049
91.000000 4.035380 0.122224
91.100000 4.025350 0.121327
91.200000 4.015507 0.120474
91.300000 4.005956 0.119614
91.400000 3.996663 0.118745
91.500000 3.987879 0.117830
91.600000 3.979897 0.116921
91.700000 3.972726 0.115955
91.800000 3.966282 0.115114
91.900000 3.960599 0.114297
92.000000 3.955574 0.113541
92.100000 3.951348 0.112884
92.200000 3.947858 0.112238
